,Label,Area,intensity_mean_fluor,mean_chi2,mean_tau,min_fluor,min_chi2,min_tau,STD_fluor,STD_chi2,STD_tau,File Name,ph,Date,selected_analysis
14,15,125.0,731.84,115.392,1079.984,411.0,89.0,646.0,138.670048676706,13.58522491532621,166.02226279628886,3,55,2023-10-12,analyze_single_fitted_channel
15,16,48.0,448.0,105.0,994.5416666666666,349.0,74.0,603.0,26.834368510053174,13.88794441233115,211.561945059177,3,55,2023-10-12,analyze_single_fitted_channel
16,17,73.0,303.3150684931507,97.28767123287672,1006.7534246575342,276.0,65.0,487.0,13.551400587098774,12.887797618427907,264.85363137007494,3,55,2023-10-12,analyze_single_fitted_channel
17,18,71.0,365.3521126760563,97.71830985915493,942.6901408450705,312.0,72.0,580.0,31.947623770019025,12.426893936864184,190.10253656866158,3,55,2023-10-12,analyze_single_fitted_channel
18,19,98.0,560.469387755102,107.10204081632654,1006.5918367346939,417.0,76.0,703.0,50.12234095580994,13.406128507117721,172.42944944353886,3,55,2023-10-12,analyze_single_fitted_channel
19,20,42.0,413.2142857142857,98.21428571428571,1033.095238095238,361.0,77.0,647.0,24.820820479019233,11.788888461448034,195.65540766549958,3,55,2023-10-12,analyze_single_fitted_channel
20,21,49.0,341.51020408163265,98.75510204081633,997.4489795918367,314.0,75.0,699.0,13.84332514169767,12.510453771187368,179.7256482013843,3,55,2023-10-12,analyze_single_fitted_channel
21,22,112.0,517.6160714285714,104.55357142857143,1054.6785714285713,432.0,75.0,630.0,48.517530987651824,13.487321616531398,194.9319576473927,3,55,2023-10-12,analyze_single_fitted_channel
25,26,49.0,317.265306122449,95.83673469387755,861.1224489795918,274.0,62.0,450.0,18.227334832892346,14.541070531254526,195.52051227565133,3,55,2023-10-12,analyze_single_fitted_channel
26,27,62.0,335.11290322580646,93.38709677419355,913.9354838709677,303.0,69.0,489.0,16.681170414871662,12.927034486050463,223.4444342392708,3,55,2023-10-12,analyze_single_fitted_channel
27,28,36.0,324.94444444444446,92.55555555555556,975.1388888888889,303.0,77.0,546.0,13.266382837090406,10.264405715449776,212.69685689285294,3,55,2023-10-12,analyze_single_fitted_channel
29,30,148.0,309.8378378378378,93.80405405405405,939.2432432432432,178.0,60.0,509.0,36.05739682222394,12.123050851292511,219.62568345420036,3,55,2023-10-12,analyze_single_fitted_channel
30,31,43.0,340.93023255813955,97.51162790697674,929.9069767441861,315.0,74.0,435.0,18.12026406301405,13.436105632184544,205.33283405734875,3,55,2023-10-12,analyze_single_fitted_channel
31,32,35.0,368.65714285714284,93.6,969.4,333.0,77.0,583.0,11.815106207473447,8.649360009354945,195.57171866826027,3,55,2023-10-12,analyze_single_fitted_channel
32,33,52.0,383.4423076923077,97.46153846153847,873.0576923076923,361.0,72.0,532.0,10.490679859061826,11.6064662654745,197.28409946664954,3,55,2023-10-12,analyze_single_fitted_channel
33,34,35.0,340.45714285714286,94.4,949.3714285714286,322.0,72.0,647.0,9.5986393593582,11.100064349877822,169.4068788811272,3,55,2023-10-12,analyze_single_fitted_channel
34,35,52.0,578.2115384615385,106.48076923076923,871.75,514.0,79.0,543.0,26.803656853311253,13.686729092607841,161.0877537961124,3,55,2023-10-12,analyze_single_fitted_channel
35,36,63.0,500.63492063492066,105.71428571428571,973.3174603174604,386.0,69.0,564.0,34.90863430160545,15.883932753820483,192.8236158721085,3,55,2023-10-12,analyze_single_fitted_channel
36,37,83.0,540.7710843373494,104.96385542168674,960.7590361445783,329.0,79.0,625.0,63.87833414799581,12.528950362417293,180.5532054789101,3,55,2023-10-12,analyze_single_fitted_channel
39,40,65.0,471.5230769230769,104.29230769230769,934.6461538461539,409.0,78.0,632.0,27.80929987905689,13.068721409913858,173.81390851396046,3,55,2023-10-12,analyze_single_fitted_channel
40,41,78.0,426.9230769230769,102.17948717948718,953.3974358974359,350.0,78.0,513.0,47.14999775152108,11.617563615164745,193.2293270027565,3,55,2023-10-12,analyze_single_fitted_channel
41,42,173.0,522.664739884393,106.6300578034682,965.7167630057803,428.0,72.0,615.0,63.16848536138424,14.726862660176051,177.2676876128382,3,55,2023-10-12,analyze_single_fitted_channel
42,43,132.0,484.3560606060606,104.43181818181819,938.810606060606,413.0,76.0,593.0,41.75852890124755,14.299922219442092,173.6018229104018,3,55,2023-10-12,analyze_single_fitted_channel
